index_in_dataset,metric,depth,width,num_iter,skip_n11,mic_obj_group,microscope_type,object,index_in_tiff,Component 1,Component 2
5203,psnr_gt_rank,7,512,100,4,actin_confocal,confocal,actin,20,-1.1158164739608765,-3.2834224700927734
5203,ssim_gt,6,512,1700,4,actin_confocal,confocal,actin,20,-1.1158164739608765,-3.2834224700927734
5433,l1_gt,6,256,1400,4,actin_confocal,confocal,actin,21,-0.1877753734588623,-5.908382892608643
5433,lpips_gt,7,512,2300,4,actin_confocal,confocal,actin,21,-0.1877753734588623,-5.908382892608643
5433,lpips_gt_rank,4,512,100,0,actin_confocal,confocal,actin,21,-0.1877753734588623,-5.908382892608643
5433,lpips_psnr_gt,6,128,1400,4,actin_confocal,confocal,actin,21,-0.1877753734588623,-5.908382892608643
5433,mse_gt,6,128,1400,4,actin_confocal,confocal,actin,21,-0.1877753734588623,-5.908382892608643
5433,psnr_gt,6,128,1400,4,actin_confocal,confocal,actin,21,-0.1877753734588623,-5.908382892608643
5433,psnr_gt_rank,8,asc_to512,100,4,actin_confocal,confocal,actin,21,-0.1877753734588623,-5.908382892608643
5433,ssim_gt,7,128,1800,4,actin_confocal,confocal,actin,21,-0.1877753734588623,-5.908382892608643
5450,l1_gt,5,256,1600,4,actin_confocal,confocal,actin,22,-0.1864343285560608,-5.909233570098877
5450,lpips_gt,7,128,2300,4,actin_confocal,confocal,actin,22,-0.1864343285560608,-5.909233570098877
5450,lpips_gt_rank,6,256,300,0,actin_confocal,confocal,actin,22,-0.1864343285560608,-5.909233570098877
5450,lpips_psnr_gt,7,512,2900,4,actin_confocal,confocal,actin,22,-0.1864343285560608,-5.909233570098877
5450,mse_gt,4,128,1200,4,actin_confocal,confocal,actin,22,-0.1864343285560608,-5.909233570098877
5450,psnr_gt,4,128,1200,4,actin_confocal,confocal,actin,22,-0.1864343285560608,-5.909233570098877
5450,psnr_gt_rank,8,512,100,0,actin_confocal,confocal,actin,22,-0.1864343285560608,-5.909233570098877
5450,ssim_gt,5,256,1600,4,actin_confocal,confocal,actin,22,-0.1864343285560608,-5.909233570098877
5516,l1_gt,7,512,2100,4,actin_confocal,confocal,actin,23,0.8813834190368652,-3.21077299118042
5516,lpips_gt,5,256,1600,4,actin_confocal,confocal,actin,23,0.8813834190368652,-3.21077299118042
5516,lpips_gt_rank,5,128,100,0,actin_confocal,confocal,actin,23,0.8813834190368652,-3.21077299118042
5516,lpips_psnr_gt,5,256,1600,4,actin_confocal,confocal,actin,23,0.8813834190368652,-3.21077299118042
5516,mse_gt,7,512,2100,4,actin_confocal,confocal,actin,23,0.8813834190368652,-3.21077299118042
5516,psnr_gt,7,512,2100,4,actin_confocal,confocal,actin,23,0.8813834190368652,-3.21077299118042
5516,psnr_gt_rank,8,asc_to512,100,4,actin_confocal,confocal,actin,23,0.8813834190368652,-3.21077299118042
5516,ssim_gt,6,512,2700,4,actin_confocal,confocal,actin,23,0.8813834190368652,-3.21077299118042
5728,l1_gt,4,512,1800,4,actin_confocal,confocal,actin,24,-2.546130657196045,-3.6696643829345703
5728,lpips_gt,5,256,1700,4,actin_confocal,confocal,actin,24,-2.546130657196045,-3.6696643829345703
5728,lpips_gt_rank,6,128,100,0,actin_confocal,confocal,actin,24,-2.546130657196045,-3.6696643829345703
5728,lpips_psnr_gt,4,512,1800,4,actin_confocal,confocal,actin,24,-2.546130657196045,-3.6696643829345703
5728,mse_gt,5,256,1000,4,actin_confocal,confocal,actin,24,-2.546130657196045,-3.6696643829345703
5728,psnr_gt,5,256,1000,4,actin_confocal,confocal,actin,24,-2.546130657196045,-3.6696643829345703
5728,psnr_gt_rank,7,512,600,0,actin_confocal,confocal,actin,24,-2.546130657196045,-3.6696643829345703
5728,ssim_gt,5,512,1800,4,actin_confocal,confocal,actin,24,-2.546130657196045,-3.6696643829345703
9211,l1_gt,4,asc_to512,2900,0,actin_confocal,confocal,actin,25,-1.1345731019973755,-3.27864670753479
9211,lpips_gt,7,512,1500,4,actin_confocal,confocal,actin,25,-1.1345731019973755,-3.27864670753479
9211,lpips_gt_rank,5,256,100,0,actin_confocal,confocal,actin,25,-1.1345731019973755,-3.27864670753479
9211,lpips_psnr_gt,4,asc_to512,2900,0,actin_confocal,confocal,actin,25,-1.1345731019973755,-3.27864670753479
9211,mse_gt,4,asc_to512,2900,0,actin_confocal,confocal,actin,25,-1.1345731019973755,-3.27864670753479
9211,psnr_gt,4,asc_to512,2900,0,actin_confocal,confocal,actin,25,-1.1345731019973755,-3.27864670753479
9211,psnr_gt_rank,8,512,100,4,actin_confocal,confocal,actin,25,-1.1345731019973755,-3.27864670753479
9211,ssim_gt,4,asc_to512,2900,0,actin_confocal,confocal,actin,25,-1.1345731019973755,-3.27864670753479
